title,viewCount,subscriberCount,videoCount,retrievedAt
Tigrai Media House,151054530,346000,5172,2023-01-08 23:04:36 UTC
Andafta,255545691,869000,5736,2023-01-08 23:04:36 UTC
Adebabay Media,12215534,93700,878,2023-01-08 23:04:36 UTC
EMS (Ethiopian Media Services),35561131,210000,728,2023-01-08 23:04:36 UTC
Mager Media - ማገር ,1096088,21700,293,2023-01-08 23:04:36 UTC
OMN,104351472,490000,9124,2023-01-08 23:04:36 UTC
ESATtv Ethiopia,195938056,640000,8606,2023-01-08 23:04:36 UTC
Abebe Belew,26388823,141000,986,2023-01-08 23:04:36 UTC
Mengizem Media ምንጊዜም ሚዲያ,3106675,28200,1095,2023-01-08 23:04:36 UTC
Reyot,38224498,179000,1964,2023-01-08 23:04:36 UTC
Ashara Media - አሻራ ሚዲያ,1940366,29400,516,2023-01-08 23:04:36 UTC
Ethio News - ኢትዮ ኒውስ,24849868,154000,1260,2023-01-08 23:04:36 UTC
Terara Network,3382482,44900,276,2023-01-08 23:04:36 UTC
Ethio 360 Media,204820879,532000,3724,2023-01-08 23:04:36 UTC
Feta Daily News,133702946,552000,838,2023-01-08 23:04:36 UTC
