title,viewCount,subscriberCount,videoCount,retrievedAt
ዓባይ ዜና - Abbay News,16371311,330000,1064,2023-02-05 23:04:51 UTC
Abebe Belew,27722863,147000,1012,2023-02-06 23:04:38 UTC
Adebabay Media,12602134,96500,898,2023-02-06 23:04:38 UTC
Alpha Media አልፋ ሚዲያ,4757187,38300,879,2023-02-06 23:04:38 UTC
Andafta,261742623,881000,5827,2023-02-06 23:04:38 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,327359,12300,39,2023-02-06 23:04:38 UTC
Ashara Media - አሻራ ሚዲያ,2177153,31500,595,2023-02-06 23:04:38 UTC
EMS (Ethiopian Media Services),39038759,217000,831,2023-02-06 23:04:38 UTC
ETHIO 251 MEDIA ,10936245,99900,845,2023-02-06 23:04:38 UTC
Ethio 360 Media,214445178,561000,3820,2023-02-06 23:04:38 UTC
Ethio News - ኢትዮ ኒውስ,26003834,159000,1306,2023-02-06 23:04:38 UTC
Feta Daily News,139616171,569000,890,2023-02-06 23:04:38 UTC
GEBEYANU,10188748,107000,595,2023-02-06 23:04:38 UTC
Mager Media - ማገር ,1137589,22200,302,2023-02-06 23:04:38 UTC
Mengizem Media ምንጊዜም ሚዲያ,3349678,29800,1167,2023-02-06 23:04:38 UTC
OMN,106645579,501000,9317,2023-02-06 23:04:38 UTC
Reyot,40164348,185000,1997,2023-02-06 23:04:38 UTC
Roha ,8996843,86200,834,2023-02-06 23:04:38 UTC
Terara Network,3386547,45200,276,2023-02-06 23:04:38 UTC
Tigrai Media House,152712054,349000,5270,2023-02-06 23:04:38 UTC
ኢትዮ ሰላም  Ethio Selam,2396447,33600,95,2023-02-06 23:04:38 UTC
ዓባይ ዜና - Abbay News,16394421,330000,1066,2023-02-06 23:04:38 UTC
Abebe Belew,27811770,147000,1013,2023-02-07 23:04:47 UTC
Adebabay Media,12620311,96500,899,2023-02-07 23:04:47 UTC
Alpha Media አልፋ ሚዲያ,4763069,38300,881,2023-02-07 23:04:47 UTC
Anchor Ethiopia ,3059031,64500,120,2023-02-07 23:04:47 UTC
Andafta,262154613,882000,5831,2023-02-07 23:04:47 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,329517,12400,41,2023-02-07 23:04:47 UTC
Ashara Media - አሻራ ሚዲያ,2186295,31600,598,2023-02-07 23:04:47 UTC
EMS (Ethiopian Media Services),39179357,218000,836,2023-02-07 23:04:47 UTC
ETHIO 251 MEDIA ,10955934,100000,847,2023-02-07 23:04:47 UTC
Ethio 360 Media,214887877,563000,3823,2023-02-07 23:04:47 UTC
Ethio News - ኢትዮ ኒውስ,26120403,159000,1309,2023-02-07 23:04:47 UTC
Feta Daily News,139935305,570000,892,2023-02-07 23:04:47 UTC
GEBEYANU,10189670,107000,595,2023-02-07 23:04:47 UTC
Mager Media - ማገር ,1141635,22200,303,2023-02-07 23:04:47 UTC
Mengizem Media ምንጊዜም ሚዲያ,3356393,29900,1169,2023-02-07 23:04:47 UTC
OMN,106786393,502000,9330,2023-02-07 23:04:47 UTC
Reyot,40281419,186000,1998,2023-02-07 23:04:47 UTC
Roha ,9307800,86900,836,2023-02-07 23:04:47 UTC
Terara Network,3386629,45200,276,2023-02-07 23:04:47 UTC
Tigrai Media House,152756007,349000,5274,2023-02-07 23:04:47 UTC
ኢትዮ ሰላም  Ethio Selam,2412767,33700,96,2023-02-07 23:04:47 UTC
ዓባይ ዜና - Abbay News,16419917,330000,1068,2023-02-07 23:04:47 UTC
Abebe Belew,27866227,147000,1014,2023-02-08 23:04:49 UTC
Adebabay Media,12625781,97200,900,2023-02-08 23:04:49 UTC
Alpha Media አልፋ ሚዲያ,4774094,38600,883,2023-02-08 23:04:49 UTC
Anchor Ethiopia ,3206858,66000,123,2023-02-08 23:04:49 UTC
Andafta,262625864,884000,5835,2023-02-08 23:04:49 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,334447,12900,42,2023-02-08 23:04:49 UTC
Ashara Media - አሻራ ሚዲያ,2195002,31700,601,2023-02-08 23:04:49 UTC
EMS (Ethiopian Media Services),39371642,218000,839,2023-02-08 23:04:49 UTC
ETHIO 251 MEDIA ,11010964,100000,848,2023-02-08 23:04:49 UTC
Ethio 360 Media,215311750,565000,3826,2023-02-08 23:04:49 UTC
Ethio News - ኢትዮ ኒውስ,26247935,160000,1311,2023-02-08 23:04:49 UTC
Feta Daily News,140263582,572000,894,2023-02-08 23:04:49 UTC
GEBEYANU,10190577,107000,595,2023-02-08 23:04:49 UTC
Mager Media - ማገር ,1143933,22300,303,2023-02-08 23:04:49 UTC
Mengizem Media ምንጊዜም ሚዲያ,3364051,30000,1172,2023-02-08 23:04:49 UTC
OMN,106942256,503000,9339,2023-02-08 23:04:49 UTC
Reyot,40397227,186000,1999,2023-02-08 23:04:49 UTC
Roha ,9399090,87600,839,2023-02-08 23:04:49 UTC
Terara Network,3386732,45200,276,2023-02-08 23:04:49 UTC
Tigrai Media House,152814634,350000,5279,2023-02-08 23:04:49 UTC
ኢትዮ ሰላም  Ethio Selam,2430464,33800,97,2023-02-08 23:04:49 UTC
ዓባይ ዜና - Abbay News,16457369,331000,1070,2023-02-08 23:04:49 UTC
Abebe Belew,27929784,148000,1015,2023-02-09 23:04:55 UTC
Adebabay Media,12701126,97600,903,2023-02-09 23:04:55 UTC
Alpha Media አልፋ ሚዲያ,4801689,38600,883,2023-02-09 23:04:55 UTC
Anchor Ethiopia ,3307262,67500,126,2023-02-09 23:04:55 UTC
Andafta,263088604,885000,5839,2023-02-09 23:04:55 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,365846,13200,44,2023-02-09 23:04:55 UTC
Ashara Media - አሻራ ሚዲያ,2203311,31800,606,2023-02-09 23:04:55 UTC
EMS (Ethiopian Media Services),39576542,219000,843,2023-02-09 23:04:55 UTC
ETHIO 251 MEDIA ,11070618,100000,850,2023-02-09 23:04:55 UTC
Ethio 360 Media,215807029,570000,3830,2023-02-09 23:04:55 UTC
Ethio News - ኢትዮ ኒውስ,26342878,160000,1314,2023-02-09 23:04:55 UTC
Feta Daily News,140673245,574000,896,2023-02-09 23:04:55 UTC
GEBEYANU,10191370,107000,595,2023-02-09 23:04:55 UTC
Mager Media - ማገር ,1147802,22300,303,2023-02-09 23:04:55 UTC
Mengizem Media ምንጊዜም ሚዲያ,3378665,30100,1174,2023-02-09 23:04:55 UTC
OMN,107084109,504000,9350,2023-02-09 23:04:55 UTC
Reyot,40489639,187000,2000,2023-02-09 23:04:55 UTC
Roha ,9504796,91700,845,2023-02-09 23:04:55 UTC
Terara Network,3386823,45200,276,2023-02-09 23:04:55 UTC
Tigrai Media House,152881649,350000,5283,2023-02-09 23:04:55 UTC
ኢትዮ ሰላም  Ethio Selam,2452398,34000,98,2023-02-09 23:04:55 UTC
ዓባይ ዜና - Abbay News,16496790,331000,1073,2023-02-09 23:04:55 UTC
Abebe Belew,28003418,148000,1017,2023-02-10 23:04:31 UTC
Adebabay Media,12740142,98500,904,2023-02-10 23:04:31 UTC
Alpha Media አልፋ ሚዲያ,4813674,38700,884,2023-02-10 23:04:31 UTC
Anchor Ethiopia ,3477667,70400,128,2023-02-10 23:04:31 UTC
Andafta,263442603,886000,5842,2023-02-10 23:04:31 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,386829,13300,44,2023-02-10 23:04:31 UTC
Ashara Media - አሻራ ሚዲያ,2212793,31900,609,2023-02-10 23:04:31 UTC
EMS (Ethiopian Media Services),39781028,219000,848,2023-02-10 23:04:31 UTC
ETHIO 251 MEDIA ,11113774,101000,853,2023-02-10 23:04:31 UTC
Ethio 360 Media,216511617,573000,3834,2023-02-10 23:04:31 UTC
Ethio News - ኢትዮ ኒውስ,26472788,161000,1317,2023-02-10 23:04:31 UTC
Feta Daily News,141078381,576000,898,2023-02-10 23:04:31 UTC
GEBEYANU,10192311,107000,595,2023-02-10 23:04:31 UTC
Mager Media - ማገር ,1149458,22300,303,2023-02-10 23:04:31 UTC
Mengizem Media ምንጊዜም ሚዲያ,3390855,30200,1180,2023-02-10 23:04:31 UTC
OMN,107281956,505000,9357,2023-02-10 23:04:31 UTC
Reyot,40583183,187000,2001,2023-02-10 23:04:31 UTC
Roha ,9947927,92300,849,2023-02-10 23:04:31 UTC
Terara Network,3386952,45200,276,2023-02-10 23:04:31 UTC
Tigrai Media House,152944828,350000,5288,2023-02-10 23:04:31 UTC
ኢትዮ ሰላም  Ethio Selam,2470285,34100,98,2023-02-10 23:04:31 UTC
ዓባይ ዜና - Abbay News,16548043,333000,1076,2023-02-10 23:04:31 UTC
Abebe Belew,28088202,148000,1018,2023-02-11 23:04:34 UTC
Adebabay Media,12827013,98700,905,2023-02-11 23:04:34 UTC
Alpha Media አልፋ ሚዲያ,4827846,38700,885,2023-02-11 23:04:34 UTC
Anchor Ethiopia ,3642633,71100,133,2023-02-11 23:04:34 UTC
Andafta,263832453,886000,5844,2023-02-11 23:04:34 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,396768,13300,44,2023-02-11 23:04:34 UTC
Ashara Media - አሻራ ሚዲያ,2222868,31900,610,2023-02-11 23:04:34 UTC
